start,end,text,speaker,robot-guess,certainty,status,round,transaction unit,position,gold character,final guess,circle,robot_correct,tu relation,hum-selection
2024-10-12 06:39:17.983,2024-10-12 06:39:18.909,"Hello! I am Robin. Let's play this game! Before we start with the real game, let's practice the basics. Are you ready?",Robot,,,,0.0,,,,,,,,
2024-10-12 06:39:18.909,2024-10-12 06:39:30.245,"Great. Now describe the character to me that you see in the first spot. For example, you can tell me what their face looks like, or something else that catches your eye.",Robot,,,,0.0,,,,,,,,
2024-10-12 06:39:30.245,2024-10-12 06:39:30.288,Yes,Human,,,,0.0,,,,,,,,
2024-10-12 06:39:30.288,2024-10-12 06:39:54.572,"Ah yes, that one is in the second spot for me. You can now click the number 1. A menu will open where you can click on the number 2, indicating that the one you just described is in the second spot in my picture. When you've done this, you will see a checkmark indicating that you've filled in this position. Is that correct?",Robot,,,,0.0,,,,,,,,
2024-10-12 06:39:54.572,2024-10-12 06:39:54.607,"Woman with blonde, blue shirt and pants",Human,,,,0.0,,,,,,,,
2024-10-12 06:39:54.607,2024-10-12 06:40:11.789,"Great! In the real game, we have to find the answers for all the characters. Please press the button to continue to the first round.",Robot,,,,0.0,,,,,,,,
2024-10-12 06:40:11.789,2024-10-12 06:40:11.790,Let's start!,Robot,,,,1.0,,,,,,,,
2024-10-12 06:40:11.790,2024-10-12 06:40:54.402,Who is in spot 1 for you?,Robot,,,,1.0,1.0,1.0,,,,,,
2024-10-12 06:40:54.402,2024-10-12 06:40:55.827,"A woman with long brown hair, blue eyes, black jacket",Human,10.0,0.3562731902391791,SUCCESS_LOW,1.0,1.0,1.0,10.0,,outer,,answer-description,
2024-10-12 06:40:55.827,2024-10-12 06:41:01.861,the woman with wavy hair?,Robot,,,,1.0,1.0,1.0,,,,,req-clar,
2024-10-12 06:41:01.861,2024-10-12 06:41:01.940,Yes,Human,,,,1.0,1.0,1.0,,,,,clar-confirm,
2024-10-12 06:41:01.940,2024-10-12 06:41:01.941,"Oh, the woman with wavy hair is in spot 5 for me. You can now fill in this position.",Robot,,,,1.0,1.0,1.0,10.0,10.0,outer,correct,ack-done,
2024-10-12 06:41:01.941,2024-10-12 06:41:46.544,And the one in spot 2?,Robot,,,,1.0,2.0,2.0,,,,,,
2024-10-12 06:41:46.544,2024-10-12 06:42:11.365,,,,,,1.0,,,,,,,,1.0
2024-10-12 06:42:11.365,2024-10-12 06:42:11.786,An older man with glasses and grey hair,Human,2.0,0.4912467149962274,SUCCESS_LOW,1.0,2.0,2.0,2.0,,inner,,answer-description,
2024-10-12 06:42:11.786,2024-10-12 06:42:16.517,the man with glasses?,Robot,,,,1.0,2.0,2.0,,,,,req-clar,
2024-10-12 06:42:16.517,2024-10-12 06:42:16.591,Yes,Human,,,,1.0,2.0,2.0,,,,,clar-confirm,
2024-10-12 06:42:16.591,2024-10-12 06:42:16.592,"Let's see, no, for me the man with glasses is in spot 3. You can now fill in this position.",Robot,,,,1.0,2.0,2.0,2.0,2.0,inner,correct,ack-done,
2024-10-12 06:42:16.592,2024-10-12 06:42:29.712,And the one in spot 3?,Robot,,,,1.0,3.0,3.0,,,,,,
2024-10-12 06:42:29.712,2024-10-12 06:43:04.489,,,,,,1.0,,,,,,,,2.0
2024-10-12 06:43:04.489,2024-10-12 06:43:05.140,Woman with short blonde hair wearing a light blue jacket and have on a pair of earrings,Human,1.0,0.3132311399253942,SUCCESS_LOW,1.0,3.0,3.0,1.0,,inner,,answer-description,
2024-10-12 06:43:05.140,2024-10-12 06:43:09.988,the woman with blonde hair?,Robot,,,,1.0,3.0,3.0,,,,,req-clar,
2024-10-12 06:43:09.988,2024-10-12 06:43:10.154,Yes,Human,,,,1.0,3.0,3.0,,,,,clar-confirm,
2024-10-12 06:43:10.154,2024-10-12 06:43:10.155,"Oh, the woman with blonde hair is in spot 1 for me. You can now fill in this position.",Robot,,,,1.0,3.0,3.0,1.0,1.0,inner,correct,ack-done,
